,Om,H0,w,b
761,0.242738521017679,73.8174842037318,-1.02219650449836,0.698016995224818
762,0.231177998039258,73.4377117221665,-0.935517834435011,0.78529287080853
763,0.22988251302588,73.8620738846053,-0.965167370521167,0.76793237874908
764,0.227456573443044,73.4726841467368,-0.939021376242035,0.787369628757528
765,0.231108965450679,73.4753125353426,-0.919458454978566,0.842567540957703
766,0.22829990628766,73.2959633021328,-0.921650984194697,0.806820495329905
767,0.236881913636848,73.0368157922907,-0.922576698559719,0.798271815433441
768,0.239253462545426,73.611113792661,-0.965615537480008,0.743187550037569
769,0.246806027691229,73.5761399215319,-1.00838512063807,0.718329789041947
770,0.233485244804698,73.7070770807408,-0.981841900408795,0.758329117340837
771,0.231700461441091,73.2720534238861,-0.953534472754373,0.785558801105047
772,0.230116373997188,73.3488769042142,-0.932813626094869,0.827476126032527
773,0.24253527401434,73.0517723439729,-0.937849395971967,0.774349177293653
774,0.22246920616872,73.1451462630515,-0.907158252154194,0.860577178931838
775,0.248628126324592,73.2274283187018,-0.984107058386602,0.737127496678654
776,0.241928691929944,72.9200914817395,-0.893270106809372,0.856965856721377
777,0.244799060423919,73.0692901062572,-0.909745356012557,0.813441100433806
778,0.237871445824395,73.0313287893903,-0.90912703691306,0.849628344974878
779,0.229123263769304,73.1258725702038,-0.908466080777707,0.860257254853865
780,0.258456471095626,73.398523560391,-0.995694384959478,0.705473464123049
781,0.220762226316981,72.9650045796222,-0.865204178396562,0.924197114558429
782,0.227473568208699,73.5205824147072,-0.950098099148011,0.776192734989136
783,0.223170413609071,73.0546548947963,-0.877894366715273,0.88175278649254
784,0.245673478541488,72.9747699947287,-0.905576703835066,0.82179003558613
785,0.223163597536405,73.644634542951,-0.929192819685549,0.81312172753136
786,0.224339693963981,73.4098158151498,-0.936012268257861,0.799423838149691
787,0.243796029757655,73.0660229657679,-0.932302714873045,0.811837237354838
788,0.231558482032987,73.5542376331072,-0.97552315772969,0.748155109147793
789,0.238799674909778,73.067176865278,-0.919441412939714,0.798836444961519
790,0.246232654581296,72.9924698626879,-0.915534538074721,0.803222554598449
791,0.252838377384402,73.4727213154157,-0.96268220348447,0.749310471112144
792,0.236361277465879,73.3241474071214,-0.906588263557283,0.850433607495288
793,0.236703952684113,73.3135444892205,-0.903072304747482,0.834828030574584
794,0.232905151451011,73.4724915348286,-0.975631712013246,0.757015740719693
795,0.232379792368657,72.9019476907761,-0.909370326235397,0.836805876938455
796,0.228030479467658,73.474424091842,-0.901482562830934,0.852312953400358
797,0.230184136560231,73.2521032060554,-0.933184998517194,0.823793709777239
798,0.246021176979815,73.0562544168693,-0.955176174938303,0.755951060202652
799,0.234524119284788,73.9184995227222,-0.991476545668537,0.737172546654728
800,0.238392540638829,73.8420644667974,-1.00892611916781,0.718511353127708
801,0.229090181566826,73.4214749520576,-0.960147357663488,0.772122383711091
802,0.249466119757405,73.4473572819661,-0.996783807542374,0.730110466387889
803,0.235772434781802,73.7665773249488,-0.951173654084243,0.779961316440392
804,0.222852946342052,73.6905315027956,-0.944751207792611,0.79741538981865
805,0.229960907329485,73.6945530099668,-0.944403697014758,0.807590270411285
806,0.229636262225091,73.1342095417712,-0.922926748522221,0.807698037883444
807,0.234717821539317,73.5676782087558,-0.983746172433126,0.734270805944475
808,0.258535588781941,73.4307782397341,-1.00964752193362,0.701074620750513
809,0.237980330239716,73.6740369028359,-0.98502731774186,0.754009742310832
810,0.244205943233434,72.8900849525134,-0.90041116902593,0.83179779634254
811,0.245841035900662,73.6770822422533,-0.977598287721641,0.754694007455518
812,0.228618703067781,73.0935033405908,-0.872723944474688,0.889847362887641
813,0.23988510164117,73.7441905059602,-0.972525025607843,0.739611562099588
814,0.239477258961908,73.1123333014919,-0.924542228891313,0.791018405238452
815,0.246292300468643,73.3754994661208,-0.99838628816623,0.713386693643789
816,0.231041896567139,73.0351527856707,-0.884423765466463,0.890939160477504
817,0.239429551007474,73.8978223218838,-0.990735683373874,0.726971662671407
818,0.251712180234362,73.2339208372745,-0.937587893377773,0.787348176489817
819,0.225054826887495,73.5746754398836,-0.913324392127202,0.848998477442485
820,0.233564430035516,73.7147659014212,-0.959836217307044,0.786893111187365
821,0.232249755937256,73.8316623183675,-0.986529465511336,0.74851960831434
822,0.234962990974936,73.890434822467,-0.982391704169825,0.751673527949444
823,0.219012741631207,73.4007640281518,-0.897516644834738,0.86163853798178
824,0.252389819522412,73.0432330051498,-0.960348454329665,0.74875795620169
825,0.222572055421311,72.9154885127929,-0.875279985034909,0.896707947874757
826,0.243131419297072,73.451903131634,-0.999828275375829,0.715946438372789
827,0.251586056820724,73.3864156812112,-0.976069072487621,0.752723987034728
828,0.225200943492197,73.1514647277209,-0.893989333958437,0.885022629520603
829,0.227865796593794,73.6778648450105,-0.929033394254459,0.811630644063656
830,0.231475553442608,73.6686804255107,-0.980753917826502,0.756528466028348
831,0.233948567494426,73.4701418704807,-0.978696458327322,0.747427677063031
832,0.250133205269268,73.2337412144647,-0.930572296630017,0.791996616835406
833,0.25442886080917,73.5170565111671,-1.01114669111663,0.708398285700689
834,0.234647980902516,72.8697243584458,-0.877961753065125,0.888309078356027
835,0.245011028748156,73.66423800908,-0.972528527743233,0.735428033936355
836,0.248525747120307,72.9664642504408,-0.913142921319271,0.814831701024685
837,0.231647863719339,73.084595727901,-0.885849271717104,0.88784895516736
838,0.236081877549374,73.5870647523051,-0.958274741562612,0.789728539787305
839,0.232995124225272,72.8431829671039,-0.888900724650904,0.857067528438244
840,0.25017472463051,73.7168619751029,-0.992159177284698,0.731166981624103
841,0.235825484735431,73.4735048782721,-0.930279560204462,0.824115140983883
842,0.245836699919038,73.7571278908184,-0.988408474594522,0.719436790552455
843,0.242397345157541,72.9746632350912,-0.896486389742577,0.852732860750173
844,0.227038447777356,72.8452040936219,-0.866984270727848,0.905997524519306
845,0.235344761078927,73.4911974867493,-0.919024564256912,0.81353222518057
846,0.232854698434607,73.6317280414592,-0.928039360198069,0.818018447541233
847,0.241481407194993,73.1188017262619,-0.908410617651378,0.844249605322997
848,0.22610337816389,73.3277703966175,-0.940897236139701,0.807269636546109
849,0.256574787125539,73.1957869323422,-0.962348903663324,0.754425053847327
850,0.217766387204507,73.2892951185347,-0.881401161902795,0.903160812704777
851,0.237711195277904,73.6038071516298,-0.950653783551749,0.795936790403759
