,Om,H0,b,M
5566,0.300196330769502,68.0327272355017,0.666831122776403,-19.4207455888298
5567,0.321476717830004,67.0988291908443,0.656039246020333,-19.4419013571902
5568,0.313431676270231,67.9358653526815,0.662876845785728,-19.4192550415129
5569,0.32002510249663,67.0275212010881,0.64620445066901,-19.4490982163963
5570,0.322083525497739,66.9042636267003,0.646576606375063,-19.4526673431825
5571,0.310033104248554,67.6647040738821,0.658925508380897,-19.4257456022404
5572,0.317029558271736,66.9294372694566,0.652778711123552,-19.453536431471
5573,0.315695812287549,67.326548884568,0.656473615220495,-19.444332399046
5574,0.303973532190234,67.8445977406801,0.657964991718273,-19.4277374808692
5575,0.319518223311253,67.6120869193921,0.654770221994203,-19.4277229746993
5576,0.314035921692231,67.9481054676255,0.656231021996727,-19.4207853312777
5577,0.311292571043283,67.9342506464383,0.654249189337474,-19.4234198700402
5578,0.314732420358518,67.9185979433044,0.660651790974938,-19.4207005442185
5579,0.321374752205001,67.1684942835132,0.656253982409885,-19.4396584077418
5580,0.313448135811276,67.4004504258151,0.663457154708751,-19.4416951079069
5581,0.319869389691845,67.0362959000931,0.645958023064113,-19.4461229892022
5582,0.325000480387787,66.8963614819586,0.645646985227099,-19.4494792845193
5583,0.313782989282213,67.7142878106955,0.660301940454043,-19.4321850952162
5584,0.318712675529182,67.675979352211,0.653717734173765,-19.4267550886384
5585,0.313501676338104,67.0928188199085,0.66044680099233,-19.4478617404146
5586,0.308850360130151,68.1488649886907,0.657733545969395,-19.4148698450182
5587,0.314338585524478,67.2378239222649,0.657487162634819,-19.4387077774959
5588,0.305016439306864,67.8377111852242,0.661613045498352,-19.430657400864
5589,0.308975719351641,67.5128234053278,0.66696112915325,-19.4382273137916
5590,0.308341740027171,67.5195350496344,0.663533512905898,-19.4395617254698
5591,0.315274998163587,67.0303275810927,0.658812908809367,-19.4478201557051
5592,0.316310410232891,67.3476869221967,0.656422359245391,-19.4434408885039
5593,0.309262282593927,67.8027823623075,0.667534629177784,-19.4233466160382
