,Om,H0,w,b,M
1381,0.306214886738077,67.4824479198085,-0.999629993448193,0.661388430851375,-19.4300354656712
1382,0.300605521244682,69.6356524221135,-1.09873468325716,0.58952206339926,-19.3828176768122
1383,0.310282710695327,68.5747019435309,-1.04337236272175,0.625757902845901,-19.3979714302022
1384,0.272005909852874,69.2073675878642,-0.957627595804054,0.732787514815891,-19.3686053949945
1385,0.308118150659259,67.8237089829967,-0.993390853113,0.666905709852317,-19.410885497958
1386,0.297036750188666,68.0994887361239,-1.03121519785443,0.647482319281945,-19.4114650185285
1387,0.287131675609366,70.2993120986527,-1.06122809319475,0.621682410568547,-19.3581203173713
1388,0.296128136625017,68.1195378675731,-1.03363940865708,0.639573765465452,-19.4111783809473
1389,0.265448844689399,70.1471841547422,-0.97696875278392,0.71738734366334,-19.3615703908193
1390,0.264283610576367,69.4396748798404,-0.917289626288108,0.792000896228179,-19.3686390642152
1391,0.275370337794752,70.0409277444215,-1.03361195540512,0.66819316516647,-19.3685035691127
1392,0.292462130978449,68.9791049959349,-0.969160017293844,0.71308086800257,-19.3759111692475
1393,0.27821172787835,68.5467913946513,-0.916816964438296,0.786012854525367,-19.3933263110463
1394,0.267704285909488,69.7349594035604,-0.953119544409632,0.732114858339933,-19.3661852084802
1395,0.294421314304786,69.1730546043624,-1.08878313051282,0.600517275622357,-19.4001445539323
1396,0.272467672081841,70.2545938488438,-1.04273009321264,0.648851538490576,-19.3656571307673
1397,0.270720226634264,68.2819794098711,-0.90082567872256,0.80949315895466,-19.401000198859
1398,0.29237296998977,69.7341588399359,-1.07078427681009,0.605496739697628,-19.3779189745308
1399,0.286868365760067,68.2314553098925,-0.951622153698425,0.740901899865866,-19.3957623586974
1400,0.274809172059375,69.3566433593803,-0.942503413937889,0.750095313590473,-19.3620375614272
1401,0.281063346508025,69.991447755451,-1.00919725227134,0.664294015547397,-19.3584051341361
1402,0.300107962470233,69.1241725095922,-1.0795303099282,0.603264686063545,-19.399977605397
1403,0.306397879619295,67.7501675585462,-0.978377517387409,0.682110327047674,-19.4160492414924
1404,0.277958582261776,70.0882358574594,-1.03292535827687,0.64441498335436,-19.3626414547498
1405,0.302741490087737,68.3995064201193,-1.02420161418617,0.659546022431541,-19.4022203417301
1406,0.270763860760203,70.0799953346902,-1.01134173811398,0.673998633863318,-19.3686947894121
1407,0.287534228149149,68.8147000805123,-0.983122566107978,0.67747819690035,-19.3848213644152
1408,0.274013347330205,69.7453974643009,-1.02037347488769,0.65802012037251,-19.3767462290142
1409,0.276975263709138,69.1126458144386,-0.989859247060801,0.696105276222919,-19.375667836155
1410,0.292756460648687,68.229940909676,-1.00319095529468,0.676052821411565,-19.4192268987286
1411,0.300065776328147,68.7203277435912,-1.08146309603485,0.607271119912353,-19.4086696661734
1412,0.263475503204258,69.8614382442642,-0.97155371388433,0.72410213300164,-19.3706244925527
1413,0.26057990093597,69.3662240241929,-0.953641016814352,0.742784710883911,-19.3776220444096
1414,0.267931656528774,69.5840041883027,-0.941521095256578,0.747247405449547,-19.3602221743737
1415,0.298476798570744,68.7248050197847,-1.07469332238766,0.615817762347927,-19.4054167265597
1416,0.293479001024333,69.9953436022651,-1.06446643853173,0.627325118623051,-19.3683790656293
1417,0.302654268064966,69.0768643432835,-1.05626742881829,0.610794969836755,-19.390381428892
1418,0.269325398143656,69.8402914953458,-0.95231390887896,0.740844372126079,-19.3534149904109
1419,0.271322962404341,69.3107070877667,-0.922979068234486,0.770132168651807,-19.3645301729181
1420,0.276355332589491,68.6810018091714,-1.00247345227684,0.688325115861303,-19.4033148002058
1421,0.301822512456393,69.5639303217508,-1.06367543799972,0.616383589772235,-19.3749318369917
1422,0.286396845569076,68.2098482659345,-0.927122932567911,0.746077775359897,-19.4032677591417
1423,0.297632328373605,69.349463410581,-1.02571449043292,0.655232908175993,-19.3822307802217
1424,0.283713534037378,69.4368784989864,-1.05722906805913,0.626415740112035,-19.3926477035875
1425,0.281422428429517,69.0777966040915,-0.942635530475479,0.755635658347268,-19.3776285607265
1426,0.273429772169634,69.1839894661077,-0.940979615351946,0.751987502832507,-19.3843315073008
1427,0.285731199532725,69.616010191983,-1.07356497331227,0.609895336679938,-19.3860842242297
1428,0.295241975510114,69.7645798211518,-1.06450229179848,0.627835924099318,-19.3760108017671
1429,0.288833384131026,67.989819942792,-0.951900045016687,0.735752635040339,-19.4162547034093
1430,0.301368706665144,69.2712319040619,-1.09152129985322,0.586967495305063,-19.3882213055883
1431,0.275319922847261,70.2839572474803,-1.05358623956576,0.642640634297216,-19.3614842809789
1432,0.275899649057119,68.007149558499,-0.886739814765492,0.812137737748336,-19.3990931530473
1433,0.293956229077408,69.4173659471023,-1.08349130941649,0.603369098224653,-19.3940057935153
1434,0.292721658228315,68.5266759926237,-1.02645171034377,0.653687510629372,-19.3955210785481
1435,0.292477488072701,67.2545389089854,-0.951381526721632,0.718913581615888,-19.4294525004062
1436,0.267475097769297,68.7345970479341,-0.958081008898331,0.732700471119758,-19.3911099521027
1437,0.274519893698293,68.3721063344617,-0.915335603445233,0.794923947344887,-19.3949344587614
1438,0.287466282479903,69.2397888800345,-1.00279148978136,0.677865319586228,-19.3694118036799
1439,0.30087735993699,69.071829573908,-1.0742883928612,0.61188182157418,-19.3864486991666
1440,0.275619241680882,69.5970809456406,-1.02166880980802,0.679609469008883,-19.3773501076573
1441,0.292942940490292,69.8276013142561,-1.04651351615039,0.627414770106514,-19.3647190183683
1442,0.297609696002321,68.1285980862819,-0.945430316661585,0.728731213558341,-19.399520539759
1443,0.286054877433223,69.6366936854173,-1.00218963816815,0.693142555384463,-19.369250861125
1444,0.280732339672353,69.7790602257263,-1.05257722412847,0.646205945577102,-19.3733162848742
1445,0.291800346270848,67.7364954300755,-0.970856813392124,0.689348072247726,-19.4226853700441
1446,0.297139235391239,68.7670676545143,-0.981117624082172,0.685464420228164,-19.3912344913002
1447,0.289918805935765,69.6654536906443,-1.00782910910729,0.677386604107828,-19.3721091042399
1448,0.263163492676865,68.9238505252252,-0.913544640447896,0.782786923256769,-19.3831093896724
1449,0.300119782404004,67.3421345659603,-0.987652975249964,0.677267266617478,-19.4329354296587
1450,0.269054425610594,69.5526894651376,-0.97429666397331,0.703673873743493,-19.371021361096
1451,0.273801867618411,68.0338517969522,-0.944684788018464,0.740026943185195,-19.4093543509829
