,Om,H0,b,M
5653,0.288653295260742,68.5176746762913,0.67852253491715,-18.6613258291172
5654,0.288453661702674,69.011237066462,0.673549222186481,-19.3028300275508
5655,0.291621603218649,68.3892677907624,0.67527149475903,-23.9847773892372
5656,0.295237043997138,68.3317212891468,0.670354528690878,-23.8876712073716
5657,0.27923525224319,69.2165000471094,0.680410616400298,-15.520701410841
5658,0.277467207086298,69.4735833356881,0.690781882496354,-22.9295874144373
5659,0.278016778501956,69.4576767293294,0.682219246931915,-22.5498357466005
5660,0.29660300152619,68.4546647623516,0.67105128620649,-17.8096503844491
5661,0.288513754426881,69.1180062685769,0.676475040748913,-16.5327690481543
5662,0.275306455355576,69.634434674787,0.68779333172877,-24.2324786525969
5663,0.295164767906911,68.5976447179006,0.675057327954404,-21.4575593517247
5664,0.283318164405454,68.9015881213411,0.676755984001289,-21.7658851389174
5665,0.285533129664595,68.7642222915526,0.675053258256631,-16.8825338995644
5666,0.289620631714778,69.0230306295726,0.674636182468724,-18.3437859046961
5667,0.275911043359024,69.5258946314474,0.685290888719066,-21.87482074612
5668,0.277670854665417,69.229341352411,0.688528520823572,-15.3199694965913
5669,0.277026115909944,69.6325337296689,0.688955843614271,-18.4254997231661
5670,0.289419652196501,68.7873371983812,0.671404730104503,-16.6617689378551
5671,0.28412037873971,69.2702632750645,0.677319489554021,-23.148769685703
5672,0.289394716497701,68.7807042752334,0.671397040766603,-22.9746044080209
5673,0.294251933712875,68.5227884357886,0.669438307664561,-17.6458098538604
5674,0.277743337400097,69.6304925645195,0.687628657128954,-19.3020592128292
5675,0.280763768406307,69.272051543798,0.678694311688888,-22.9764962963099
5676,0.293685116793668,68.3334190982512,0.672340405144854,-18.6984045534054
5677,0.291315815725523,68.6404765202264,0.670315687465957,-24.3920292502119
5678,0.292713027840502,68.8177873604287,0.672795419364949,-20.3640904657514
5679,0.283628556883712,68.7913875993392,0.683128696301732,-15.1822201293943
5680,0.27859987578003,69.6073438293115,0.685974792415948,-21.9719760011229
5681,0.275189261293246,69.5791614668926,0.690159903297796,-19.0550916627903
5682,0.278279403559493,69.3609201868118,0.681538559009597,-15.6123458217617
5683,0.277805431228992,69.5435017905121,0.69007831786544,-21.4364840090247
5684,0.296632693026509,68.4015207754233,0.670619846762443,-15.9561911606169
5685,0.291963312796809,68.9011307719105,0.67671923326465,-23.5643166175629
5686,0.29268763760103,68.8467061812673,0.67432567791202,-15.7740858785464
5687,0.29424604781262,68.6967738813867,0.671913728735846,-16.4479193583267
5688,0.289521946755925,68.4814236582125,0.67766091903641,-18.947441716858
5689,0.286980172336374,68.6233881221259,0.68096974437606,-17.9320207545402
5690,0.291486944520131,68.928087120204,0.677641607771178,-15.6097271189118
5691,0.288039754654313,68.5390459681785,0.676482018996357,-17.152937508348
5692,0.283328746365392,69.3111738550026,0.678078025398495,-17.815873787981
5693,0.286552027705896,68.6087039614173,0.678629345570122,-23.0574603573415
5694,0.294269480718085,68.3214588334798,0.672613119486497,-21.4342885921802
5695,0.285452776796143,69.0335178888699,0.686323553604585,-17.6714541723636
5696,0.29332807660924,68.7274666301042,0.677575965424986,-23.7877883028862
5697,0.282042189510924,69.119193558961,0.688418233829573,-24.0797930651488
5698,0.296471451285837,68.4618505054133,0.671251597441603,-21.4677747683019
5699,0.284804745006619,68.7030021654944,0.679321530757104,-15.519576807573
5700,0.282444164034046,69.3999724426944,0.686746438187059,-20.6545399069927
5701,0.275002246576783,69.5356116465221,0.68771839957801,-23.7766361055253
5702,0.287831341233041,68.5647471220941,0.675529944791874,-15.3917253620448
5703,0.279014357959159,69.5641147574292,0.683847977839539,-17.693590394176
5704,0.288886531505823,69.0713267841084,0.675413411336565,-21.6168124451936
5705,0.290326345720722,68.5404430807161,0.671702478370468,-21.8921404163065
5706,0.288173832773994,68.8550703000847,0.672272490614095,-24.3247883772072
5707,0.287960032879779,68.6438162889824,0.6733086811025,-16.1484340699993
5708,0.279444935126601,69.06096820444,0.682866495194506,-24.9090490654768
5709,0.292711967164442,68.7125744208207,0.678852981287883,-23.9212053878181
5710,0.291659550971698,68.7206082106125,0.670641622155534,-16.7223321506546
5711,0.276240597073749,69.3350397511959,0.686601045211866,-20.3376408454271
5712,0.284369165269171,69.3350117772082,0.684439572414855,-21.5481075702305
5713,0.29577556250967,68.4134750951747,0.669796838058052,-22.5762210009162
5714,0.28306776956545,68.8917618206736,0.677498297000666,-20.6058188715128
5715,0.289207954623991,68.9944385293835,0.681931310634613,-15.5650990714697
5716,0.278463966083764,69.5060653746492,0.682642913517078,-20.9440850082449
5717,0.291403180710261,68.8659719698276,0.679564949873889,-18.1076385353093
5718,0.275187264172226,69.4822768291123,0.688913179658848,-16.0005982003937
5719,0.277799030150944,69.2543214923444,0.688998993596825,-15.8997380891273
5720,0.294688309379952,68.629861393131,0.671114869975972,-22.5999430113146
5721,0.277869048523318,69.577169273135,0.684430564455742,-15.333767349255
5722,0.294397081763644,68.493348416566,0.669585091819492,-16.5601274349358
5723,0.292541886080975,68.3691555372963,0.674343428347383,-18.2721493459079
5724,0.295922567250668,68.537212617549,0.672405297450532,-16.3921525332271
5725,0.27756385811833,69.2539573483444,0.688669765202456,-16.8860717261088
5726,0.292609967071378,68.3726456518894,0.672837673789442,-24.2613579112277
5727,0.278254787600813,69.4649920583472,0.69024841183413,-23.5772869003933
5728,0.283107369160263,69.4208883672422,0.683833353124835,-20.3891346106572
5729,0.280370544462074,68.9942338739353,0.684897939969914,-15.2615291369591
5730,0.286540673072336,68.7905965279388,0.684241126895329,-18.8581900083057
5731,0.285960750081488,69.1563428112015,0.675717977155198,-17.8818059622209
5732,0.291081898933338,68.9238369689879,0.673878457339857,-22.6223952221004
5733,0.286903701231985,68.9499277571676,0.685000514848156,-20.6228187222831
5734,0.277892772815756,69.532834528407,0.689892841769715,-17.4819672812304
5735,0.289397863741356,68.8155470673075,0.682683017616718,-18.0339460419661
5736,0.282967410116768,69.1103080399079,0.67648983702725,-24.1329034569616
5737,0.279375576881149,69.2906610012727,0.680320519659026,-17.23954433914
5738,0.289766901841889,68.5595073847914,0.672282057464722,-16.3388047445591
5739,0.29408454931864,68.7220440411562,0.674353551761458,-18.3582119080923
5740,0.287235136932933,68.7139779528087,0.683028574051568,-15.3789835143886
5741,0.283064645194408,68.9329502626212,0.677084621056865,-17.6045231128721
